nan,增长,市场,2021,产品,数据,融资,2022,价格,同比,平台,融券,显示,招行,飞天,买入,冰淇淋,成交,集团,上线,渠道,万股,电商,销售,资金,行业,投资,发展,交易,业绩,消费者,行长,金额,营销,股价,记者,股东,万元,申购,当日,丁雄军,风险,中国,股份,发布,企业,消费,收入,一季度,净利润,生产
股东,80,6,16,3,9,0,22,3,81,1,0,16,4,5,1,3,0,11,0,0,6,0,1,1,2,1,1,2,6,1,0,1,0,6,6,239,2,1,0,14,0,2,7,4,1,2,37,17,91,1
万元,0,1,6,0,2,64,109,10,0,4,62,67,0,1,29,0,95,3,2,0,72,0,9,2,2,1,3,95,0,2,1,112,0,1,1,2,278,0,127,0,0,1,5,6,0,0,1,1,4,2
申购,0,5,2,35,4,0,4,3,0,13,0,12,0,6,0,0,0,0,27,2,0,14,4,0,1,0,0,0,2,37,0,1,11,0,6,1,0,142,5,3,0,0,0,22,0,0,2,0,1,0
当日,1,9,3,3,2,0,3,0,0,7,0,4,2,3,104,0,101,2,8,2,41,6,4,28,5,0,1,51,1,2,5,75,3,7,4,0,127,5,334,0,0,0,1,4,0,0,0,1,0,0
丁雄军,8,11,47,9,1,0,36,9,0,9,0,1,0,4,0,6,0,34,10,4,0,3,6,0,2,1,8,0,28,5,0,0,19,2,5,14,0,3,0,189,1,3,7,4,2,1,3,5,0,5
风险,8,7,4,7,87,0,8,7,3,4,0,4,3,1,2,0,0,1,3,19,0,5,3,1,19,351,12,0,9,0,0,1,11,2,2,0,0,0,0,1,523,0,2,1,5,7,6,3,0,340
中国,2,2,7,2,18,0,6,2,0,9,0,21,5,6,13,5,2,35,6,3,3,3,12,6,5,8,4,2,1,3,3,5,6,8,30,2,1,0,0,3,0,303,36,8,13,3,1,3,0,3
股份,5,4,19,4,10,0,35,4,3,4,0,19,5,3,32,0,5,26,5,3,8,0,9,18,8,0,4,5,13,1,17,16,4,5,4,7,5,0,1,7,2,36,351,24,0,1,3,3,4,4
发布,32,23,43,25,30,0,65,13,36,11,0,23,3,5,48,2,0,18,14,7,1,10,6,0,7,9,12,1,16,20,17,3,6,4,12,4,6,22,4,4,1,8,24,415,7,3,18,16,12,3
企业,7,4,11,0,13,3,2,4,7,1,0,6,0,0,0,0,0,3,0,9,1,3,4,3,8,5,11,0,7,3,0,0,5,2,4,1,0,0,0,2,5,13,0,7,217,6,3,4,6,8
消费,7,6,3,6,3,0,0,4,1,2,0,1,0,2,1,1,0,2,5,4,1,4,3,1,21,5,5,0,3,10,0,1,4,0,8,2,0,0,0,1,7,3,1,3,6,222,3,5,1,0
收入,74,4,31,4,15,0,28,3,75,0,0,28,4,1,4,1,1,11,5,10,0,1,1,0,2,3,4,1,14,1,0,4,0,0,2,37,1,2,0,3,6,1,3,18,3,3,236,21,69,0
一季度,53,12,17,3,9,0,42,6,47,0,0,16,3,1,6,0,1,3,1,9,2,0,1,1,3,4,3,0,42,1,3,0,0,3,3,17,1,0,1,5,3,3,3,16,4,5,21,191,44,4
净利润,172,7,28,1,25,0,43,3,171,0,0,28,2,0,1,0,0,1,4,0,0,2,1,1,3,1,1,0,19,0,0,1,1,6,0,91,4,1,0,0,0,0,4,12,6,1,69,44,265,3
生产,1,5,13,12,320,0,4,10,0,1,0,9,0,1,0,5,1,3,7,5,1,0,10,0,1,338,10,0,5,5,0,2,3,103,1,1,2,0,0,5,340,3,4,3,8,0,0,4,3,494
